boston_fake_01, 1, 6, 8.00, 6.00, 6.00, 7.00, 6.00, 6.00
boston_fake_02, 1, 6, 7.00, 2.00, 5.00, 2.00, 5.00, 10.00
boston_fake_03, 1, 6, 4.00, 3.00, 6.00, 12.00, 5.00, 8.00
boston_fake_04, 1, 6, 5.00, 7.00, 6.00, 5.00, 4.00, 4.00
boston_fake_05, 1, 6, 16.00, 4.00, 4.00, 4.00, 4.00, 3.00
boston_fake_06, 1, 6, 6.00, 2.00, 2.00, 10.00, 4.00, 2.00
boston_fake_07, 1, 6, 3.00, 2.00, 2.00, 4.00, 2.00, 3.00
boston_fake_08, 1, 6, 4.00, 9.00, 5.00, 9.00, 3.00, 6.00
boston_fake_09, 1, 6, 8.00, 10.00, 6.00, 7.00, 9.00, 4.00
boston_fake_11, 1, 6, 8.00, 10.00, 8.00, 8.00, 8.00, 7.00
boston_fake_12, 1, 6, 13.00, 11.00, 9.00, 10.00, 5.00, 9.00
boston_fake_13, 1, 6, 10.00, 11.00, 12.00, 10.00, 5.00, 7.00
boston_fake_14, 1, 6, 16.00, 8.00, 12.00, 7.00, 9.00, 10.00
boston_fake_15, 1, 6, 16.00, 3.00, 4.00, 6.00, 7.00, 5.00
boston_fake_16, 1, 6, 8.00, 8.00, 6.00, 7.00, 5.00, 7.00
boston_fake_17, 1, 6, 10.00, 7.00, 7.00, 9.00, 7.00, 7.00
boston_fake_18, 1, 6, 10.00, 8.00, 7.00, 8.00, 7.00, 7.00
boston_fake_19, 1, 6, 12.00, 5.00, 12.00, 11.00, 12.00, 7.00
boston_fake_20, 1, 6, 11.00, 11.00, 11.00, 5.00, 5.00, 5.00
boston_fake_21, 1, 6, 12.00, 6.00, 8.00, 10.00, 6.00, 5.00
boston_fake_22, 1, 6, 16.00, 8.00, 7.00, 14.00, 7.00, 3.00
boston_fake_23, 1, 6, 11.00, 11.00, 7.00, 14.00, 4.00, 5.00
boston_fake_24, 1, 6, 10.00, 7.00, 7.00, 6.00, 7.00, 6.00
boston_fake_26, 1, 6, 11.00, 11.00, 12.00, 14.00, 4.00, 10.00
boston_fake_28, 1, 6, 6.00, 6.00, 9.00, 9.00, 7.00, 5.00
boston_fake_29, 1, 6, 8.00, 6.00, 7.00, 7.00, 9.00, 6.00
boston_fake_30, 1, 6, 7.00, 9.00, 6.00, 3.00, 4.00, 6.00
boston_fake_31, 1, 6, 4.00, 8.00, 10.00, 10.00, 5.00, 7.00
